youtube url,segment info,lab (tb/ss/cl),performer,title,record title,year
https://www.youtube.com/watch?v=fyAAKCu1H-4,2:26-3:17,tb,Carl Fontana,Shouting on a Riff,The Great Fontana,1987
https://www.youtube.com/watch?v=qnusMfw3S6w,2:51-3:14,tb,Jack Teagarden,Diane,Shades of the Night,1958
https://www.youtube.com/watch?v=RPIglYWEAyE,20:26-21:26,tb,Curtis Fuller,The Breeze and I,Soul Trombone,1961
https://www.youtube.com/watch?v=sgaITiDVvmU,1:02-1:47,tb,Al Grey,Smile,Boss Bone,1963
https://www.youtube.com/watch?v=hhV9ilos69E,2:26-3:45,tb,Wycliffe Gordon,Bed Time,The Joyride,
https://www.youtube.com/watch?v=U_gplhzxVFE,0:55-3:05,tb,Carl Fontana,A Beautiful Friendship,Live at Cappozzoli,1998
https://www.youtube.com/watch?v=CE3a1KcHI6o,1:26-2:45,tb,Allen Hermann / Carl Fontana,It Might as Well Be Spring,The Jazz Trombone,2004
https://www.youtube.com/watch?v=CE3a1KcHI6o,2:45-4:03,tb,Allen Hermann / Carl Fontana,It Might as Well Be Spring (2),The Jazz Trombone,2004
https://www.youtube.com/watch?v=CE3a1KcHI6o,41:56-43:23,tb,Allen Hermann / Carl Fontana,The Days of Wine and Roses,The Jazz Trombone,2004
https://www.youtube.com/watch?v=CE3a1KcHI6o,43:23-44:45,tb,Allen Hermann / Carl Fontana,The Days of Wine and Roses (2),The Jazz Trombone,2004
https://www.youtube.com/watch?v=VH8U6w6h7FE,2:40-3:55,tb,Frank Rosolino,Love for Sale,Free for All,1958
https://www.youtube.com/watch?v=pLj6moMFpiE,0:29-3:08,tb,Frank Rosolino,Blue Daniel,Jazz Confronto,1973
https://www.youtube.com/watch?v=6WDK6xp_AOo,1:11-2:58,tb,Frank Rosolino,I May Be Wrong but I think You're Beautiful,I Play Trombone,1956
https://www.youtube.com/watch?v=ZbkTjSaZabc,0:43-2:10,tb,Curtis Fuller / Slide Hampton,Fuss Budget,Two Bones,1958
https://www.youtube.com/watch?v=ZbkTjSaZabc,2:10-3:40,tb,Curtis Fuller / Slide Hampton,Fuss Budget (2),Two Bones,1958
https://www.youtube.com/watch?v=ciz_C3xiuN0,1:20-3:25,cl,Albert Burbank,When I Grow Too Old To Dream,Burgundy Street Blues,1969
https://www.youtube.com/watch?v=WSiQmz96o_0,2:07-3:38,cl,Anat Cohen,La Comparsa,Noir,2007
https://www.youtube.com/watch?v=zZpyQhR215U,1:51-2:26,cl,Anat Cohen,La Vie en Rose,Claroscuro,2012
https://www.youtube.com/watch?v=SXbpkabat_k,2:08-3:43,cl,Anat Cohen,Putty Boy Strut,Luminosa,2015
https://www.youtube.com/watch?v=GsiKy_H1KUM,1:37-2:17,cl,Artie Shaw,Stardust,Greatest Hits,
https://www.youtube.com/watch?v=GsiKy_H1KUM,51:33-52:07,cl,Artie Shaw,I Can't Get Started,Greatest Hits,
https://www.youtube.com/watch?v=TcVNwkcwY58,0:38-0:54,cl,Artie Shaw,The Chant,Artie Shaw and His New Music,
https://www.youtube.com/watch?v=G4Vjl2k6SfY,2:31-4:41,cl,Louis Sclavis,Caravan,Ellington on the Air,1992
https://www.youtube.com/watch?v=zIRUJYLW10Y,2:24-3:04,cl,Louis Sclavis,Marche,Chine Chamber Music,2003
https://www.youtube.com/watch?v=-qfIq8nhVeU,0:17-3:36,cl,Alvin Batiste,Bat's Blues,Late,1993
https://www.youtube.com/watch?v=5NSrPfwH_EY,1:02-4:14,cl,Alvin Batiste,Body and Soul,Late,1993
https://www.youtube.com/watch?v=FVe9lZymiCc,1:53-3:07,cl,Alvin Batiste,Ray's Segue,Late,1993
https://www.youtube.com/watch?v=cWwb5qizBMI,0:00-0:55,cl,Alvin Batiste,Imp and Perry,Late,1993
https://www.youtube.com/watch?v=ziq49BHfZQk,4:12-4:39,cl,Jimmy Giuffre,Lazy Tones,Tangents in Jazz,1956
https://www.youtube.com/watch?v=fF0UI98rpFk,0:00-2:46,cl,Jimmy Giuffre,So Low,The Jimmy Giuffre Clarinet,1956
https://www.youtube.com/watch?v=fF0UI98rpFk,4:29-5:01,cl,Jimmy Giuffre,Deep Purple,The Jimmy Giuffre Clarinet,1956
https://www.youtube.com/watch?v=fF0UI98rpFk,18:18-19:38,cl,Jimmy Giuffre,Quiet Cook,The Jimmy Giuffre Clarinet,1956
https://www.youtube.com/watch?v=fF0UI98rpFk,29:01-29:44,cl,Jimmy Giuffre,Fascinating Rhythm,The Jimmy Giuffre Clarinet,1956
https://www.youtube.com/watch?v=fF0UI98rpFk,32:35-33:07,cl,Jimmy Giuffre,Down Home,The Jimmy Giuffre Clarinet,1956
https://www.youtube.com/watch?v=m4INc9UtkgU,7:33-9:26,cl,Barney Biggard,Sweet Lorraine,Bucket's Got a Hole in It,1968
https://www.youtube.com/watch?v=m4INc9UtkgU,12:33-13:32,cl,Barney Biggard,Hesitating Blues,Bucket's Got a Hole in It,1968
https://www.youtube.com/watch?v=m4INc9UtkgU,20:39-21:22,cl,Barney Biggard,Lover Come Back To Me,Bucket's Got a Hole in It,1968
https://www.youtube.com/watch?v=m4INc9UtkgU,28:34-29:45,cl,Barney Biggard,Makin' Whoopee,Bucket's Got a Hole in It,1968
https://www.youtube.com/watch?v=U9k9UK19VkY,0:58-3:19,cl,Buddy Defranco,All Too Soon,Hark,1985
https://www.youtube.com/watch?v=U9k9UK19VkY,9:20-10:07,cl,Buddy Defranco,"Summer Me, Winter Me",Hark,1985
https://www.youtube.com/watch?v=Q4SSc8N6jXE,0:24-2:32,ss,Lucky Thompson,Lover Man,"The Complete Vogue Recordings, Vol 2",1998
https://www.youtube.com/watch?v=CsiQ8YNhEnQ,0:44-2:54,ss,Pharaoh Sanders,Astral Traveling,Thembi,1970
https://www.youtube.com/watch?v=0TcSK6MYkpU,40:50-42:29,ss,Joe Farrell,La Fiesta,Return To Forever,1972
https://www.youtube.com/watch?v=0PQKnjwlN6g,0:25-0:51,ss,Wayne Shorter,Beauty And The Beast,Native Dancer,1975
https://www.youtube.com/watch?v=JRatOg9xS5w,0:18-2:23,ss,Zoot Sims,Moonlight In Vermont,Zoot Sims â€“ Soprano Sax,1976
https://www.youtube.com/watch?v=e4hT0HRVwJE,2:19-2:54,ss,Klaus Doldinger,Ataraxia Part 1,Ataraxia,1971
https://www.youtube.com/watch?v=1TqHyTdDGGY,0:01-0:45,ss,Jane Ira Bloom,The Man With Glasses,Mighty Lights,1982
https://www.youtube.com/watch?v=wB5iN2Z-C40,0:29-1:44,ss,Chris Cheek,Ice Fall,Vine,1999
https://www.youtube.com/watch?v=4ZHOoUFqYvE,0:17-1:36,ss,Branford Marsalis,The Ruby and the Pearl,Eternal,2003
https://www.youtube.com/watch?v=j3c9m4c2ZZU,0:24-3:44,ss,Kenny Garrett,Detroit,Seeds from the Underground,2012
https://www.youtube.com/watch?v=3axLbrGlwBc,0:17-2:52,ss,Lucky Thompson,In A Sentimental Mood,Lucky Strikes,1964
https://www.youtube.com/watch?v=447yaU_4DF8,0:20-2:32,ss,Kenny G,The Moment,The Essential Kenny G,2006
https://www.youtube.com/watch?v=S5BCKv50XlM,3:22-3:50,ss,Jane Ira Bloom,Art and Aviation,Art and Aviation,1992
https://www.youtube.com/watch?v=S5BCKv50XlM,2:49-3:54,ss,Jane Ira Bloom,Child's Song,As One,1984
https://www.youtube.com/watch?v=S5BCKv50XlM,0:55-1:25,ss,Jane Ira Bloom,Rhyme or Rythm,Early Americans,2016
https://www.youtube.com/watch?v=X9SBzQw2IJY,1:38-3:09,ss,Steve Lacy,The Mystery Song,Evidence,1961
https://www.youtube.com/watch?v=X9SBzQw2IJY,23:01-25:17,ss,Steve Lacy,Something to Live For,Evidence,1961
